Date,BALTIC STATES
2023-08-31,1000.0
2023-09-01,1006.0276454253283
2023-09-04,1014.488663706692
2023-09-05,1016.6064619949773
2023-09-06,1021.61902711622
2023-09-07,1027.9125979226712
2023-09-08,1026.9294635200715
2023-09-11,1024.6878080387928
2023-09-12,1012.3343160051895
2023-09-13,1003.2506774084272
2023-09-14,997.349964655202
2023-09-15,1008.0333276449865
2023-09-18,1001.1722187587895
2023-09-19,998.7982879259274
2023-09-20,1007.0671798261862
2023-09-21,1006.8348240307886
2023-09-22,1005.2426658508515
2023-09-25,1003.1887149336568
2023-09-26,1003.7964030504328
2023-09-27,1020.2893895973683
2023-09-28,1015.5274295334823
2023-09-29,1017.7802850111773
2023-10-02,1018.2215783644255
2023-10-03,1015.8178009183082
2023-10-04,1013.0321059260399
2023-10-05,1012.072291370477
2023-10-06,1006.2969079081955
2023-10-09,998.0535088273648
2023-10-10,994.1470694944148
2023-10-11,998.3596580069867
2023-10-12,1001.3894735639964
2023-10-13,998.8538540646097
2023-10-16,995.6964348222799
2023-10-17,994.3119027017086
2023-10-18,993.9678781228187
2023-10-19,994.9572258683364
2023-10-20,991.1955918233361
2023-10-23,988.950249420181
2023-10-24,991.7992373749591
2023-10-25,991.9465880993678
2023-10-26,990.0735512655255
2023-10-27,990.0656680854212
2023-10-30,988.4472941625892
2023-10-31,982.8734782640843
2023-11-01,979.8625370275256
2023-11-02,980.8632308134646
2023-11-03,978.3167045319311
2023-11-06,990.5395572046856
2023-11-07,990.223767865237
2023-11-08,990.1562442873853
2023-11-09,992.0748646921189
2023-11-10,988.7054899854217
2023-11-13,986.0117448435769
2023-11-14,985.495361395326
2023-11-15,983.6295058694653
2023-11-16,984.5036545353074
2023-11-17,981.1876007650714
2023-11-20,975.1829591424577
2023-11-21,971.4028525631443
2023-11-22,973.6324226045299
2023-11-23,975.5115390281165
2023-11-24,983.3632876697155
2023-11-27,983.1941174568108
2023-11-28,977.9331355763212
2023-11-29,979.7504998403948
2023-11-30,980.7838619925434
2023-12-01,979.384090535932
2023-12-04,971.6729894141666
2023-12-05,965.9459283227037
2023-12-06,969.2618024985028
2023-12-07,968.0389969977505
2023-12-08,968.1762022964601
2023-12-11,976.832227781639
2023-12-12,981.9630800900894
2023-12-13,982.5148494844144
2023-12-14,985.5658672318369
2023-12-15,983.5123697660073
2023-12-18,983.5361681689012
2023-12-19,982.440901806649
2023-12-20,977.0804383029632
2023-12-21,977.2229376501697
2023-12-22,978.3335540050278
2023-12-25,978.3335540050278
2023-12-26,978.3335540050278
2023-12-27,977.3907745350514
2023-12-28,977.9607651362023
2023-12-29,979.3501513258213
2024-01-01,979.3501513258212
2024-01-02,981.0611769579267
2024-01-03,997.1466703004791
2024-01-04,1006.148014024439
2024-01-05,1005.8909175365195
2024-01-08,1003.0836642011917
2024-01-09,1007.4344925165396
2024-01-10,1003.0809708781593
2024-01-11,1004.1176745590161
2024-01-12,1005.9777922238789
2024-01-15,1004.9411482280342
2024-01-16,1006.3482385880437
2024-01-17,1000.0913153514629
2024-01-18,1000.991264969913
2024-01-19,1000.2306033050615
2024-01-22,992.8140312728684
2024-01-23,990.9439373598079
2024-01-24,982.030289110974
2024-01-25,985.0457929956617
2024-01-26,985.238243162126
2024-01-29,984.6145286070233
2024-01-30,982.7363751087702
2024-01-31,986.8696908495468
2024-02-01,989.3444861393871
2024-02-02,988.5577391087969
2024-02-05,988.9358268467704
2024-02-06,995.2685244148375
2024-02-07,996.9049394675665
2024-02-08,992.1086621413986
2024-02-09,989.5882652023291
2024-02-12,988.2519767062978
2024-02-13,983.9651830120303
2024-02-14,982.3800337463251
2024-02-15,979.7888131105002
2024-02-16,981.6386833411032
2024-02-19,978.870685139229
2024-02-20,978.8348306967575
2024-02-21,977.9317685420782
2024-02-22,981.6643504281252
2024-02-23,982.6717017976797
2024-02-26,981.784693669033
2024-02-27,980.6733119294004
2024-02-28,987.5487586867769
2024-02-29,974.9453106132697
2024-03-01,974.6926436777295
2024-03-04,974.7690621173045
2024-03-05,982.6460909280725
2024-03-06,983.6000064936733
2024-03-07,982.0568584068072
2024-03-08,982.5900563450047
2024-03-11,982.080671915467
2024-03-12,980.8621063181608
2024-03-13,977.229613504853
2024-03-14,976.6164768362066
2024-03-15,977.0962463845945
2024-03-18,976.6643917598828
2024-03-19,976.203138747821
2024-03-20,975.5690336901632
2024-03-21,982.4005188525438
2024-03-22,978.1462371240359
2024-03-25,974.9368187413753
2024-03-26,974.9598443715995
2024-03-27,973.2315998732845
2024-03-28,973.5275685077668
2024-03-29,973.5275685077668
2024-04-01,973.5275685077667
2024-04-02,977.2359200761231
2024-04-03,975.8684985617165
2024-04-04,976.9832028418915
2024-04-05,980.3425789928307
2024-04-08,984.5102865677418
2024-04-09,987.9846580330803
2024-04-10,990.1591595497258
2024-04-11,987.1990897933637
2024-04-12,993.3124917406852
2024-04-15,989.3027116451083
2024-04-16,983.5931649982371
2024-04-17,987.8850524528468
2024-04-18,981.9825231655882
2024-04-19,980.1996966011741
2024-04-22,979.5077692801718
2024-04-23,981.8274324700028
2024-04-24,983.5134739365373
2024-04-25,989.0330689730318
2024-04-26,989.0788161593407
2024-04-29,991.6479324466488
2024-04-30,990.9764113744183
2024-05-01,990.9764113744184
2024-05-02,992.2566399651977
2024-05-03,991.033142103955
2024-05-06,990.9592450829516
2024-05-07,992.0992644603372
2024-05-08,993.1980505712213
2024-05-09,993.1980505712211
2024-05-10,993.5409836228339
2024-05-13,990.1181796774824
2024-05-14,989.2363859496222
2024-05-15,985.3199471514508
2024-05-16,979.2507412359073
2024-05-17,980.4803879611632
2024-05-20,974.8122017571127
2024-05-21,974.704609303568
2024-05-22,980.8473556236057
2024-05-23,982.0299356427282
2024-05-24,983.9434086074846
2024-05-27,983.7194486157881
2024-05-28,984.908785796836
2024-05-29,982.7715073965768
2024-05-30,982.2751875922066
2024-05-31,988.6168202257531
2024-06-03,990.6071953705223
2024-06-04,990.2677931555746
2024-06-05,995.9582108404783
2024-06-06,1011.2516377474388
2024-06-07,1014.5100525359288
2024-06-10,1008.2560536684241
2024-06-11,1006.6260546970016
2024-06-12,1005.8957173580437
2024-06-13,1001.606186707372
2024-06-14,997.400531344901
2024-06-17,988.4046125360853
2024-06-18,985.8166209011899
2024-06-19,975.9078245596583
2024-06-20,977.0687626313021
2024-06-21,983.9141343875431
2024-06-24,983.9141343875431
2024-06-25,980.4708150669575
2024-06-26,977.5666800493469
2024-06-27,978.3406115374173
2024-06-28,976.8653148718432
2024-07-01,974.2989743274196
2024-07-02,970.74463987306
2024-07-03,974.1961716504604
2024-07-04,983.2804545710725
2024-07-05,986.1062220250561
2024-07-08,992.8493284693559
2024-07-09,988.8204775168607
2024-07-10,985.6091435085139
2024-07-11,987.9183055512725
2024-07-12,987.9571994371267
2024-07-15,985.201579739674
2024-07-16,985.5778125226342
2024-07-17,989.3361182031911
2024-07-18,986.8919665637736
2024-07-19,989.2853542758112
2024-07-22,986.7865872896323
2024-07-23,986.7965799150633
2024-07-24,985.6273602859759
2024-07-25,982.1582102563808
2024-07-26,981.4369759865899
2024-07-29,978.6021420002431
2024-07-30,984.6699804994674
2024-07-31,987.331705511241
2024-08-01,987.3760492851922
2024-08-02,983.6045901469985
2024-08-05,958.6335016062432
2024-08-06,970.230037136634
2024-08-07,974.635449746596
2024-08-08,970.8571216112144
2024-08-09,974.8849680824527
2024-08-12,973.5057387826982
2024-08-13,971.0398083142234
2024-08-14,969.1648072931692
2024-08-15,969.4991219107105
2024-08-16,968.4316767802775
2024-08-19,971.5835264326823
2024-08-20,973.5219752890977
2024-08-21,972.8024279241874
2024-08-22,971.8222457910296
2024-08-23,971.1502576304812
2024-08-26,968.810034332577
2024-08-27,966.2147208556693
2024-08-28,963.2427352676496
2024-08-29,966.3351554284417
2024-08-30,964.9731013359956
2024-09-02,965.4743055428314
2024-09-03,963.5775359389011
2024-09-04,960.4309972873131
2024-09-05,961.0014026818359
2024-09-06,960.4701336720656
2024-09-09,960.9248614344244
2024-09-10,964.5609423532728
2024-09-11,963.303337877052
2024-09-12,965.9345801116976
2024-09-13,964.9310808766379
2024-09-16,965.8272516450978
2024-09-17,966.331161187136
2024-09-18,966.8755882376412
2024-09-19,967.8374532209492
2024-09-20,965.735861416036
2024-09-23,962.94503435926
2024-09-24,963.4456355980151
2024-09-25,962.1793693211047
2024-09-26,967.293194811274
2024-09-27,966.037773944462
2024-09-30,965.0840507503933
2024-10-01,980.0433144961
2024-10-02,980.7172341986903
2024-10-03,977.4397685279678
2024-10-04,981.5265343599806
2024-10-07,983.4071922462044
2024-10-08,989.6067136853311
2024-10-09,993.4123467989674
2024-10-10,1006.773746757029
2024-10-11,1014.9501524056762
2024-10-14,1018.7181220403193
2024-10-15,1017.3171291248606
2024-10-16,1020.053921067548
2024-10-17,1020.1304892617862
2024-10-18,1022.6645124426655
2024-10-21,1023.6031522490568
2024-10-22,1021.6039300182092
2024-10-23,1026.682360203635
2024-10-24,1024.872801275498
2024-10-25,1025.2660133403465
2024-10-28,1022.5981489433736
2024-10-29,1013.6182459377169
2024-10-30,1014.9739849120651
2024-10-31,1011.618497701235
2024-11-01,1011.4007245420022
